RecordType|ProviderCode|ReferenceDate|ProviderSubjectNo|ProviderSubjectNo(Child)|ProviderContractNo|ErrorType|ErrorCode|WrongValue
CI|RB001800|12122025|1190027439|N/A|0022L|10|280|
CI|RB001800|12122025|1190028634|N/A|0218CL|10|253|
CI|RB001800|12122025|1190030267|N/A|SB0077|10|280|
CI|RB001800|12122025|1190029433|N/A|0156CL|10|253|
CI|RB001800|12122025|1190008167|N/A|0165|10|307|
CI|RB001800|12122025|1190031305|N/A|0219CL|10|253|
CI|RB001800|12122025|1190022518|N/A|0110CL|10|253|
CI|RB001800|12122025|1190028632|N/A|0223CL|10|253|
CI|RB001800|12122025|1190031405|N/A|103170|10|307|
CI|RB001800|12122025|1190029587|N/A|0211CL|10|253|
CI|RB001800|12122025|1190007086|N/A|900292|10|253|
